case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
trend-slope-12,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-trend-slope-12.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10544.42,544.42,5.44,1.12,54.63,8.21,108,0.6,0.58,98%,0.54,0.65
fast-medium-10-30,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-fast-medium-10-30.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11277.08,1277.08,12.77,1.28,57.27,8.05,110,1.37,1.41,98%,1.21,1.48
fast-medium-20-50,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-fast-medium-20-50.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
fast-medium-30-75,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-fast-medium-30-75.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10382.57,382.57,3.83,1.08,50.94,9.74,106,0.44,0.34,98%,0.37,0.38
fast-medium-50-100,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-fast-medium-50-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10811.6,811.6,8.12,1.16,52.25,11.08,111,0.86,0.61,98%,0.73,0.66
safe-off,safe-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-safe-off.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
safe-on,safe-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-safe-on.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10503.29,503.29,5.03,1.29,58.7,3.88,46,1.21,1.19,98%,0.81,1.26
market-xau,market,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-market-xau.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13488.4,3488.4,34.88,1.4,57.14,7.44,182,2.93,3.3,98%,2.1,3.55
market-xag,market,XAGUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-market-xag.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7638.19,-2361.81,-23.62,0.73,44.92,26.74,187,-2.81,-0.86,98%,-2.08,-0.89
market-us30,market,US30,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-market-us30.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11054.93,1054.93,10.55,1.11,55.68,10.9,185,0.9,0.8,98%,0.68,0.85
market-us100,market,USTEC,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-market-us100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11231.74,1231.74,12.32,1.13,55.43,8.57,184,0.93,1.17,98%,0.8,1.26
market-btc,market,BTCUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-market-btc.htm,2023.09.01,2025.08.31,1,1.00,10000.0,15140.23,5140.23,51.4,1.43,56.71,11.42,231,2.49,3.42,100%,2.58,3.83
market-gbpjpy,market,GBPJPY,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-market-gbpjpy.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10009.97,9.97,0.1,1.0,51.63,16.17,184,0.01,0.01,100%,0.01,0.01
combo-all-pivot-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-pivot-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10951.96,951.96,9.52,1.21,65.07,9.37,146,1.25,0.86,98%,1.05,0.9
combo-all-pivot-rr150,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-pivot-rr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11076.51,1076.51,10.77,1.25,59.29,7.62,113,1.28,1.19,98%,1.1,1.26
combo-all-pivot-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-pivot-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
combo-all-pivot-rr200,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-pivot-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12441.34,2441.34,24.41,1.6,55.79,6.4,95,2.43,3.45,98%,2.12,4.19
combo-all-pivot-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-pivot-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11387.5,1387.5,13.88,1.35,50.0,8.89,84,1.37,1.27,98%,1.23,1.41
combo-all-pivot-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-pivot-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11163.08,1163.08,11.63,1.3,43.84,8.5,73,1.1,1.14,98%,0.97,1.2
combo-all-pivot-rr400,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-pivot-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11541.92,1541.92,15.42,1.42,44.93,9.03,69,1.39,1.37,98%,1.22,1.69
combo-asia-pivot-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-asia-pivot-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10809.47,809.47,8.09,1.47,70.77,4.07,65,2.71,1.77,98%,1.43,1.97
combo-asia-pivot-rr150,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-asia-pivot-rr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10391.21,391.21,3.91,1.18,56.14,4.87,57,0.88,0.74,98%,0.58,0.98
combo-asia-pivot-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-asia-pivot-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10569.32,569.32,5.69,1.27,56.36,5.14,55,1.26,1.0,98%,0.83,1.18
combo-asia-pivot-rr200,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-asia-pivot-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10934.56,934.56,9.35,1.41,50.94,4.96,53,1.83,1.65,98%,1.17,1.94
combo-asia-pivot-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-asia-pivot-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10766.08,766.08,7.66,1.33,49.02,5.65,51,1.28,1.19,98%,0.93,1.37
combo-asia-pivot-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-asia-pivot-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10771.58,771.58,7.72,1.33,46.94,5.65,49,1.27,1.2,98%,0.9,1.38
combo-asia-pivot-rr400,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-asia-pivot-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11127.19,1127.19,11.27,1.48,47.92,6.01,48,1.68,1.59,98%,1.14,2.02
combo-london-pivot-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-london-pivot-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10883.8,883.8,8.84,1.78,74.47,4.23,47,3.75,1.94,98%,1.84,2.38
combo-london-pivot-rr150,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-london-pivot-rr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11254.16,1254.16,12.54,1.97,68.18,3.46,44,3.92,3.36,98%,2.13,4.2
combo-london-pivot-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-london-pivot-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11428.4,1428.4,14.28,2.2,69.05,3.52,42,3.92,3.76,98%,2.39,4.67
combo-london-pivot-rr200,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-london-pivot-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11213.83,1213.83,12.14,1.95,65.0,2.72,40,3.14,3.96,98%,1.94,4.35
combo-london-pivot-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-london-pivot-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11194.72,1194.72,11.95,1.83,58.97,4.3,39,2.62,2.42,98%,1.75,3.17
combo-london-pivot-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-london-pivot-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11463.0,1463.0,14.63,1.93,52.63,4.2,38,2.33,2.97,98%,1.78,3.88
combo-london-pivot-rr400,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-london-pivot-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11653.83,1653.83,16.54,1.98,50.0,4.14,38,2.43,3.36,98%,1.73,4.38
combo-newyork-pivot-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-newyork-pivot-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10995.91,995.91,9.96,1.35,67.0,5.71,100,1.79,1.52,98%,1.37,1.62
combo-newyork-pivot-rr150,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-newyork-pivot-rr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10689.7,689.7,6.9,1.23,58.54,6.45,82,1.04,0.94,98%,0.86,0.98
combo-newyork-pivot-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-newyork-pivot-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10638.76,638.76,6.39,1.2,55.7,7.14,79,0.87,0.79,98%,0.75,0.9
combo-newyork-pivot-rr200,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-newyork-pivot-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11235.18,1235.18,12.35,1.39,52.7,6.95,74,1.53,1.5,98%,1.29,1.75
combo-newyork-pivot-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-newyork-pivot-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10192.14,192.14,1.92,1.06,43.48,8.68,69,0.22,0.2,98%,0.2,0.23
combo-newyork-pivot-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-newyork-pivot-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11209.77,1209.77,12.1,1.42,43.86,6.87,57,1.34,1.49,98%,1.16,1.57
combo-newyork-pivot-rr400,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-newyork-pivot-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10547.19,547.19,5.47,1.2,41.51,8.52,53,0.63,0.57,98%,0.56,0.71
combo-overlap-pivot-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-overlap-pivot-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11229.46,1229.46,12.29,1.6,71.6,4.79,81,2.79,2.49,98%,1.94,2.77
combo-overlap-pivot-rr150,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-overlap-pivot-rr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11051.18,1051.18,10.51,1.48,62.69,5.49,67,1.87,1.65,98%,1.48,1.89
combo-overlap-pivot-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-overlap-pivot-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10784.96,784.96,7.85,1.31,58.21,6.49,67,1.27,1.06,98%,1.03,1.26
combo-overlap-pivot-rr200,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-overlap-pivot-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11227.74,1227.74,12.28,1.49,55.56,6.29,63,1.84,1.66,98%,1.45,1.97
combo-overlap-pivot-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-overlap-pivot-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11056.24,1056.24,10.56,1.39,48.28,6.83,58,1.43,1.33,98%,1.13,1.48
combo-overlap-pivot-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-overlap-pivot-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11509.47,1509.47,15.09,1.59,47.17,6.64,53,1.9,1.88,98%,1.46,2.08
combo-overlap-pivot-rr400,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-overlap-pivot-rr400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10991.72,991.72,9.92,1.39,45.1,7.69,51,1.26,1.11,98%,1.0,1.44
combo-all-atr100-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr100-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13396.97,3396.97,33.97,1.29,66.78,10.58,298,3.78,2.18,98%,2.05,2.42
combo-all-atr150-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr150-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13384.86,3384.86,33.85,1.42,69.26,9.0,244,3.44,3.43,98%,2.55,4.0
combo-all-signal010-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-signal010-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12639.18,2639.18,26.39,1.29,67.21,9.47,244,2.87,2.03,98%,1.87,2.26
combo-all-atr100-rr150,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr100-rr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13052.4,3052.4,30.52,1.25,57.48,8.74,254,2.77,2.49,98%,1.68,2.84
combo-all-atr150-rr150,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr150-rr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12511.12,2511.12,25.11,1.28,58.21,9.29,201,2.36,2.01,98%,1.65,2.16
combo-all-signal010-rr150,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-signal010-rr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12152.59,2152.59,21.53,1.24,57.14,9.01,189,2.05,1.82,98%,1.38,2.07
combo-all-atr100-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr100-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12667.51,2667.51,26.68,1.21,53.94,9.87,241,2.32,1.97,98%,1.4,2.24
combo-all-atr150-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr150-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13488.4,3488.4,34.88,1.4,57.14,7.44,182,2.93,3.3,98%,2.1,3.55
combo-all-signal010-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-signal010-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12859.02,2859.02,28.59,1.31,55.25,7.72,181,2.5,2.74,98%,1.71,3.17
combo-all-atr100-rr200,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr100-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12710.92,2710.92,27.11,1.21,50.9,11.32,222,2.28,1.73,98%,1.36,1.88
combo-all-atr150-rr200,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr150-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13543.02,3543.02,35.43,1.45,56.25,7.46,160,2.89,3.31,98%,2.17,3.74
combo-all-signal010-rr200,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-signal010-rr200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12635.4,2635.4,26.35,1.32,51.28,8.54,156,2.07,2.61,98%,1.61,2.94
combo-all-atr100-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr100-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13424.37,3424.37,34.24,1.27,46.08,12.98,204,2.56,1.78,98%,1.52,1.9
combo-all-atr150-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr150-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,14498.54,4498.54,44.99,1.56,52.9,9.58,138,3.14,2.97,98%,2.36,3.21
combo-all-signal010-rr250,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-signal010-rr250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12749.41,2749.41,27.49,1.35,49.3,10.07,142,2.0,2.28,98%,1.61,2.52
combo-all-atr100-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr100-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13308.5,3308.5,33.09,1.27,45.79,16.35,190,2.42,1.3,98%,1.48,1.46
combo-all-atr150-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-atr150-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13679.53,3679.53,36.8,1.45,48.53,8.24,136,2.56,3.04,98%,1.91,3.28
combo-all-signal010-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-combo-all-signal010-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12597.76,2597.76,25.98,1.35,46.4,10.19,125,1.79,1.85,98%,1.47,2.21
