ea_1,label_1,symbol_1,ea_2,label_2,symbol_2,daily_r_correlation
us100-month-end-flow,US100 Month End Flow,USTEC,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.00478
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.00483
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.00485
lta-volume-profile,LTA Volume Profile,XAUUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,-0.00492
xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,-0.00501
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,news-pulse-xag,News Pulse XAG,XAGUSD,-0.00521
xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.00526
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.00555
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.0059
nasdaq-overnight,Nasdaq Overnight,USTEC,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,-0.00591
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.006
news-pulse-xau,News Pulse XAU,XAUUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,-0.00619
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.00626
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,-0.00746
news-pulse-xau,News Pulse XAU,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.00819
xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.00863
ema3,EMA3,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.00871
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,-0.00883
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.00889
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,news-pulse-xau,News Pulse XAU,XAUUSD,-0.00911
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.00953
news-pulse-eurusd,News Pulse EURUSD,EURUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,-0.0097
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xau-weakness,XAU Weakness,XAUUSD,-0.00985
lta-volume-profile,LTA Volume Profile,XAUUSD,nasdaq-overnight,Nasdaq Overnight,USTEC,-0.00988
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,-0.01
news-pulse-xau,News Pulse XAU,XAUUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,-0.01011
orb-volume-profile,ORB Volume Profile,XAUUSD,us100-month-end-flow,US100 Month End Flow,USTEC,-0.01074
nasdaq-overnight,Nasdaq Overnight,USTEC,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,-0.01086
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.01104
news-pulse-xau,News Pulse XAU,XAUUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,-0.01141
lta-volume-profile,LTA Volume Profile,XAUUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,-0.01163
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.01189
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.01212
news-pulse-xag,News Pulse XAG,XAGUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.01231
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,-0.01285
ema3,EMA3,XAUUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,-0.01299
xau-rsi-vwap,XAU RSI VWAP,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.01302
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,news-pulse-xag,News Pulse XAG,XAGUSD,-0.01307
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xau-weakness,XAU Weakness,XAUUSD,-0.01314
nasdaq-overnight,Nasdaq Overnight,USTEC,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.01411
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xau-weakness,XAU Weakness,XAUUSD,-0.01441
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.01463
ema3,EMA3,XAUUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.01516
us100-month-end-flow,US100 Month End Flow,USTEC,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.01535
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.01559
news-pulse-eurusd,News Pulse EURUSD,EURUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.0156
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,-0.0156
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,nasdaq-overnight,Nasdaq Overnight,USTEC,-0.01566
news-pulse-xag,News Pulse XAG,XAGUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,-0.01566
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.01584
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.01591
news-pulse-xag,News Pulse XAG,XAGUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.01596
orb-volume-profile,ORB Volume Profile,XAUUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.0161
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.01625
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.01663
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.01709
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.01732
news-pulse-xau,News Pulse XAU,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.01745
lta-volume-profile,LTA Volume Profile,XAUUSD,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,-0.01761
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.01778
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.01807
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.01856
asia-breakout,Asia Breakout,XAUUSD,nasdaq-overnight,Nasdaq Overnight,USTEC,-0.01876
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.019
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,nasdaq-overnight,Nasdaq Overnight,USTEC,-0.01949
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xau-weakness,XAU Weakness,XAUUSD,-0.01972
news-pulse-eurusd,News Pulse EURUSD,EURUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.02004
news-pulse-xau,News Pulse XAU,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,-0.02047
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.02051
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,-0.02069
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.02075
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.021
news-pulse-xau,News Pulse XAU,XAUUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.02114
lta-volume-profile,LTA Volume Profile,XAUUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.02114
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.02205
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,-0.0228
news-pulse-xag,News Pulse XAG,XAGUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.02402
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.02417
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.02466
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xau-weakness,XAU Weakness,XAUUSD,-0.02481
us100-month-end-flow,US100 Month End Flow,USTEC,xau-weakness,XAU Weakness,XAUUSD,-0.02542
nasdaq-overnight,Nasdaq Overnight,USTEC,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.02549
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.02554
xau-regime-switch,XAU Regime Switch,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.02574
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.02585
news-pulse-eurusd,News Pulse EURUSD,EURUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.02617
asia-breakout,Asia Breakout,XAUUSD,news-pulse-xau,News Pulse XAU,XAUUSD,-0.0263
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,-0.02634
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,lta-volume-profile,LTA Volume Profile,XAUUSD,-0.02676
asia-breakout,Asia Breakout,XAUUSD,btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,-0.02696
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.02702
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,ema3,EMA3,XAUUSD,-0.02707
asia-breakout,Asia Breakout,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.02742
news-pulse-eurusd,News Pulse EURUSD,EURUSD,us100-month-end-flow,US100 Month End Flow,USTEC,-0.02797
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,-0.0281
nasdaq-overnight,Nasdaq Overnight,USTEC,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.02859
asia-breakout,Asia Breakout,XAUUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,-0.02964
news-pulse-xag,News Pulse XAG,XAGUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.0299
news-pulse-xag,News Pulse XAG,XAGUSD,xau-weakness,XAU Weakness,XAUUSD,-0.03012
orb-volume-profile,ORB Volume Profile,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,-0.03025
asia-breakout,Asia Breakout,XAUUSD,btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,-0.0309
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.03148
news-pulse-xag,News Pulse XAG,XAGUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.03207
news-pulse-xag,News Pulse XAG,XAGUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.03229
us100-month-end-flow,US100 Month End Flow,USTEC,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.03259
nasdaq-overnight,Nasdaq Overnight,USTEC,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.0326
orb-volume-profile,ORB Volume Profile,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.03269
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,-0.03274
ema3,EMA3,XAUUSD,nasdaq-overnight,Nasdaq Overnight,USTEC,-0.0328
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,-0.0329
news-pulse-xau,News Pulse XAU,XAUUSD,us100-month-end-flow,US100 Month End Flow,USTEC,-0.03344
nasdaq-overnight,Nasdaq Overnight,USTEC,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,-0.0335
lta-volume-profile,LTA Volume Profile,XAUUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.03401
news-pulse-xag,News Pulse XAG,XAGUSD,us100-month-end-flow,US100 Month End Flow,USTEC,-0.03492
asia-breakout,Asia Breakout,XAUUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.03527
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,news-pulse-eurusd,News Pulse EURUSD,EURUSD,-0.03562
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,lta-volume-profile,LTA Volume Profile,XAUUSD,-0.03568
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.03576
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,-0.03589
ema3,EMA3,XAUUSD,eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,-0.03631
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,-0.0373
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,us100-month-end-flow,US100 Month End Flow,USTEC,-0.03743
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,-0.03794
news-pulse-xau,News Pulse XAU,XAUUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.03861
news-pulse-eurusd,News Pulse EURUSD,EURUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.03885
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,news-pulse-xau,News Pulse XAU,XAUUSD,-0.03943
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,us100-month-end-flow,US100 Month End Flow,USTEC,-0.03988
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,-0.04195
lta-volume-profile,LTA Volume Profile,XAUUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.042
asia-breakout,Asia Breakout,XAUUSD,news-pulse-eurusd,News Pulse EURUSD,EURUSD,-0.04323
news-pulse-xau,News Pulse XAU,XAUUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.04387
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.0445
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,-0.04501
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,-0.04562
lta-volume-profile,LTA Volume Profile,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.04593
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.04636
news-pulse-xau,News Pulse XAU,XAUUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.04707
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.04734
asia-breakout,Asia Breakout,XAUUSD,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,-0.04774
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.04824
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.04886
ema3,EMA3,XAUUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.04908
asia-breakout,Asia Breakout,XAUUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.05003
nasdaq-overnight,Nasdaq Overnight,USTEC,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.05052
orb-volume-profile,ORB Volume Profile,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.05071
asia-breakout,Asia Breakout,XAUUSD,us100-month-end-flow,US100 Month End Flow,USTEC,-0.0517
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.05339
asia-breakout,Asia Breakout,XAUUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.05344
orb-volume-profile,ORB Volume Profile,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.05414
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,-0.05418
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,news-pulse-xag,News Pulse XAG,XAGUSD,-0.05484
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.05492
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.05509
asia-breakout,Asia Breakout,XAUUSD,news-pulse-xag,News Pulse XAG,XAGUSD,-0.05671
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,-0.05714
ema3,EMA3,XAUUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,-0.05714
ema3,EMA3,XAUUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,-0.05972
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.06137
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.06519
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,-0.06542
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,nasdaq-overnight,Nasdaq Overnight,USTEC,-0.06642
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,-0.06695
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,-0.06849
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,nasdaq-overnight,Nasdaq Overnight,USTEC,-0.08107
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.09581
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,-0.13789
